16 22106 83718
0 0 -385.990000 387.120000
1 0 -38.440000 492.120000
2 0 -667.920000 123.110000
7 0 -599.180000 407.930000
12 0 -720.430000 314.340000
13 0 -115.130000 55.489990
0 1 383.880000 -15.299990
1 1 559.750000 -106.150000
10 1 353.189900 164.950000
0 2 591.550000 136.440000
1 2 863.860000 -23.469970
2 2 494.720000 112.520000
6 2 408.780000 284.670000
7 2 424.610000 310.170000
9 2 284.890000 192.890000
10 2 582.620000 363.720000
12 2 494.060100 293.950000
13 2 796.830000 -78.530030
15 2 779.890000 408.250000
0 3 592.500000 125.750000
1 3 861.080000 -35.219970
2 3 498.540000 101.560000
6 3 412.310000 272.920000
7 3 426.730000 299.590000
8 3 468.380000 55.120000
9 3 287.950000 183.940000
10 3 584.050000 350.970000
12 3 497.319900 282.510000
15 3 781.950000 393.260000
0 4 348.720000 558.380000
1 4 776.030000 483.530000
2 4 7.780029 326.350000
3 4 -137.240000 -7.799988
5 4 750.069900 -78.719970
6 4 -116.090000 664.220000
8 4 87.049990 256.310000
9 4 -147.190000 357.800000
11 4 456.920000 -197.160000
13 4 463.580000 241.030000
14 4 648.250000 -159.570000
0 5 14.010010 96.420010
1 5 207.130000 118.360000
3 5 18.590030 -206.800000
4 5 -209.530000 -421.760000
5 5 635.090000 -561.620000
6 5 -67.380000 125.830000
7 5 -90.810000 209.360000
8 5 125.180000 45.239990
9 5 -20.719970 179.920000
10 5 -87.200010 255.020000
13 5 367.260000 -140.340000
15 5 -28.140010 270.520000
0 6 202.760000 340.990000
1 6 543.180100 294.810000
2 6 -58.419980 110.830000
6 6 -197.080000 369.310000
9 6 -191.660000 169.380000
10 6 109.590000 566.250000
12 6 -45.340030 365.600000
13 6 369.870000 47.929990
14 6 537.600000 -395.300000
0 7 27.849980 63.409970
1 7 207.670000 82.590000
3 7 57.060000 -224.600000
4 7 -232.100000 -433.700000
5 7 662.830000 -597.740000
6 7 -30.609990 97.169980
7 7 -67.690000 180.030000
8 7 154.110000 27.480010
10 7 -66.969970 217.350000
12 7 -11.440000 151.790000
13 7 388.110000 -165.830000
15 7 -5.020020 227.420000
0 8 -27.500000 97.880000
1 8 170.200000 131.020000
3 8 -33.179990 -226.340000
4 8 -205.110000 -388.320000
5 8 580.319900 -563.410000
6 8 -124.530000 110.210000
7 8 -135.030000 201.450000
8 8 81.460020 30.720000
10 8 -135.970000 252.680000
12 8 -97.390010 164.670000
13 8 325.920000 -144.400000
15 8 -83.909970 266.910000
0 9 -287.870000 424.550000
1 9 66.489990 504.600000
5 9 116.770000 -229.680000
8 9 -386.050000 120.350000
11 9 -107.960000 -333.570000
13 9 -37.580020 91.179990
14 9 32.289980 -321.240000
0 10 205.780000 479.180000
1 10 591.800000 435.470000
3 10 -243.480000 -93.789980
5 10 607.810100 -167.180000
7 10 -26.390010 567.910000
14 10 513.880000 -248.940000
0 11 -310.540000 376.330000
1 11 33.000000 463.470000
2 11 -590.900000 107.880000
7 11 -520.580000 404.790000
8 11 -404.300000 73.109990
11 11 -129.620000 -375.540000
12 11 -631.330000 312.140000
13 11 -56.969970 49.440000
14 11 6.109985 -371.890000
0 12 -216.880000 -486.160000
1 12 -178.040000 -368.300000
0 13 -313.270000 404.410000
1 13 36.880000 491.240000
7 13 -527.230000 433.960000
10 13 -512.180000 593.130000
11 13 -130.620000 -352.430000
12 13 -638.950000 346.400000
0 14 -446.680000 221.620000
1 14 -135.110000 348.660000
5 14 -64.960020 -450.490000
7 14 -638.510000 224.200000
10 14 -649.230000 359.270000
11 14 -260.300000 -514.900000
0 15 -394.800000 308.640000
1 15 -64.620000 418.670000
5 15 -3.280029 -353.990000
7 15 -598.040000 322.920000
8 15 -476.110000 1.820007
10 15 -598.170000 468.720000
11 15 -207.250000 -435.320000
13 15 -127.160000 -14.400020
14 15 -84.520020 -447.560100
15 15 -604.150000 506.440000
0 16 -370.510000 327.100000
1 16 -36.820010 430.600000
5 16 23.469970 -334.680000
7 16 -575.470000 345.450000
8 16 -455.150000 20.500000
10 16 -571.170000 493.770000
11 16 -185.190000 -419.240000
12 16 -693.740000 240.190000
15 16 -573.820000 535.480000
0 17 -553.470000 437.560000
1 17 -185.370000 578.730000
11 17 -336.720000 -318.960000
0 18 -434.140000 427.440000
1 18 -75.429990 542.440000
2 18 -723.170000 173.140000
10 18 -665.730000 613.290000
0 19 -504.440000 333.070000
1 19 -163.260000 468.320000
5 19 -110.030000 -323.790000
7 19 -717.100000 334.900000
8 19 -577.030000 22.109990
10 19 -738.150000 490.090000
15 19 -763.390000 525.870000
0 20 -536.520000 287.700000
1 20 -203.520000 433.300000
7 20 -744.570000 282.440000
13 20 -243.530000 -37.739990
15 20 -799.690000 458.790000
0 21 -526.790000 277.590000
1 21 -196.670000 421.460000
5 21 -141.430000 -384.390000
7 21 -732.690000 272.940000
10 21 -757.470000 420.340000
11 21 -327.780000 -460.610000
13 21 -236.210000 -46.049990
14 21 -222.180000 -481.220000
15 21 -784.360000 445.900000
0 22 -479.720000 407.830000
1 22 -122.830000 534.020000
5 22 -74.299990 -243.940000
7 22 -702.000000 419.150000
8 22 -554.190000 100.390000
11 22 -276.380000 -345.840000
13 22 -191.700000 70.299990
14 22 -156.760000 -338.140000
0 23 -433.590000 406.270000
1 23 -79.280030 521.740000
2 23 -723.760000 145.210000
5 23 -29.130000 -247.140000
7 23 -652.790000 422.710000
8 23 -512.310000 99.549990
10 23 -661.300000 586.920000
11 23 -236.400000 -348.090000
13 23 -154.600000 70.469970
14 23 -111.520000 -339.960000
0 24 -517.140000 370.950000
1 24 -166.430000 507.570000
5 24 -116.850000 -282.150000
7 24 -736.590000 374.880000
8 24 -589.070000 61.620000
10 24 -760.140000 536.290000
11 24 -311.240000 -377.100000
13 24 -223.340000 36.299990
